Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
MNPR,Monopar Therapeutics Inc.,389.39M,0,-,-,-,-,-,-,-,-
ISBA,Isabella Bank Corporation,389.18M,1.12,2.11%,43.75%,-,Quarterly,-,18,0.60%,0.73%
NEWT,"NewtekOne, Inc.",388.89M,0.76,5.60%,34.86%,-,Quarterly,-,11,-30.66%,-18.49%
SNDL,SNDL Inc.,388.83M,0,-,-,-,-,-,1,-,-
AVXL,Anavex Life Sciences Corp.,388.66M,0,-,-,-,-,-,-,-,-
AUTL,Autolus Therapeutics plc,388.57M,0,-,-,-,-,-,1,-,-
GIX,GigCapital9 Corp.,388.33M,0,-,-,-,-,-,1,-,-
USNA,"USANA Health Sciences, Inc.",387.55M,0,-,-,-,-,-,-,-,-
RNGR,"Ranger Energy Services, Inc.",386.70M,0.24,1.46%,36.27%,20.00%,Quarterly,3,3,-,-
GPAT,GP-Act III Acquisition Corp.,386.33M,0,-,-,-,-,-,1,-,-
ATNI,"ATN International, Inc.",385.19M,1.10,4.28%,-,10.94%,Quarterly,4,28,11.90%,9.39%
BWFG,"Bankwell Financial Group, Inc.",385.01M,0.80,1.60%,17.98%,-,Quarterly,-,12,-,7.39%
ALF,Centurion Acquisition Corp.,384.98M,0,-,-,-,-,-,1,-,-
PDLB,"Ponce Financial Group, Inc.",384.63M,0,-,-,-,-,-,1,-,-
MBAV,M3-Brigade Acquisition V Corp.,384.17M,0,-,-,-,-,-,1,-,-
RDAG,Republic Digital Acquisition Company,384.00M,0,-,-,-,-,-,1,-,-
IEAG,Infinite Eagle Acquisition Corp.,383.63M,0,-,-,-,-,-,1,-,-
CD,Chaince Digital Holdings Inc.,382.91M,0,-,-,-,-,-,1,-,-
TACO,Berto Acquisition Corp.,382.69M,0,-,-,-,-,-,1,-,-
YDDL,One and one Green Technologies. Inc,381.73M,0,-,-,-,-,-,-,-,-
WENN,Wen Acquisition Corp,381.57M,0,-,-,-,-,-,-,-,-
BRBS,"Blue Ridge Bankshares, Inc.",381.14M,0.25,5.77%,227.27%,-,Semi-Annual,1,1,-12.05%,-8.03%
ELLO,Ellomay Capital Ltd.,380.14M,0,-,-,-,-,-,-,-,-
BBBY,"Bed Bath & Beyond, Inc.",380.05M,-,-,-,-,-,-,-,-,-
ALLO,"Allogene Therapeutics, Inc.",379.79M,0,-,-,-,-,-,1,-,-
AGCC,Agencia Comercial Spirits Ltd,379.52M,0,-,-,-,-,-,1,-,-
CRNC,Cerence Inc.,379.50M,0,-,-,-,-,-,-,-,-
SAR,Saratoga Investment Corp.,378.55M,3.25,13.90%,130.02%,-1.81%,Monthly,-,20,10.03%,21.45%
TRDA,"Entrada Therapeutics, Inc.",378.34M,0,-,-,-,-,-,1,-,-
KELYA,"Kelly Services, Inc.",377.77M,0.30,2.81%,-,-,Quarterly,-,15,-,43.10%
FMAO,"Farmers & Merchants Bancorp, Inc.",377.31M,0.92,3.29%,38.64%,1.98%,Quarterly,16,29,2.63%,6.08%
YSG,Yatsen Holding Limited,376.96M,0,-,-,-,-,-,-,-,-
GNE,Genie Energy Ltd.,376.76M,0.30,2.11%,164.21%,-,Quarterly,-,5,-,31.95%
CLDT,Chatham Lodging Trust,376.61M,0.36,4.77%,"2,917.34%",28.57%,Quarterly,1,4,37.00%,38.75%
STRT,Strattec Security Corporation,376.60M,0,-,-,-,-,-,-,-,-
HYLN,Hyliion Holdings Corp.,376.58M,0,-,-,-,-,-,1,-,-
KFS,Kingsway Financial Services Inc.,376.43M,0,-,-,-,-,-,-,-,-
RBB,RBB Bancorp,375.43M,0.64,2.91%,34.97%,-,Quarterly,-,10,3.34%,14.17%
VFF,"Village Farms International, Inc.",375.43M,0,-,-,-,-,-,1,-,-
ESEA,Euroseas Ltd.,374.85M,2.80,5.23%,15.53%,12.50%,Quarterly,3,4,10.52%,40.11%
SVC,Service Properties Trust,374.83M,0.04,1.79%,-,-90.48%,Quarterly,-,32,-54.33%,-
EGHT,"8x8, Inc.",374.77M,0,-,-,-,-,-,-,-,-
XNET,Xunlei Limited,374.24M,0,-,-,-,-,-,1,-,-
TTGT,"TechTarget, Inc.",373.71M,0,-,-,-,-,-,1,-,-
ANL,Adlai Nortye Ltd.,373.43M,0,-,-,-,-,-,-,-,-
PSBD,Palmer Square Capital BDC Inc.,373.15M,1.66,14.52%,-,-13.09%,Quarterly,-,2,-,-
BKKT,"Bakkt, Inc.",372.82M,0,-,-,-,-,-,1,-,-
OFLX,"Omega Flex, Inc.",371.98M,1.36,3.69%,85.30%,0.74%,Quarterly,5,14,2.04%,3.96%
WTI,"W&T Offshore, Inc.",371.94M,0.04,1.60%,-,-,Quarterly,-,3,58.74%,31.95%
PNNT,PennantPark Investment Corporation,371.53M,0.96,16.87%,191.54%,3.23%,Monthly,4,20,14.17%,14.87%
ILPT,Industrial Logistics Properties Trust,369.96M,0.20,3.60%,-,300.00%,Quarterly,1,9,-23.69%,-34.43%
PLBC,Plumas Bancorp,369.77M,1.32,2.50%,27.09%,10.81%,Quarterly,5,11,18.99%,19.73%
CNCK,Coincheck Group N.V.,369.72M,0,-,-,-,-,-,1,-,-
BBCQ,Bleichroeder Acquisition Corp. II,368.61M,0,-,-,-,-,-,1,-,-
MVBF,MVB Financial Corp.,366.58M,0.68,2.35%,27.77%,-,Quarterly,-,18,-,12.94%
NMG,Nouveau Monde Graphite Inc.,365.90M,0,-,-,-,-,-,1,-,-
TLS,Telos Corporation,365.82M,0,-,-,-,-,-,1,-,-
AURA,"Aura Biosciences, Inc.",365.14M,0,-,-,-,-,-,1,-,-
ACCO,ACCO Brands Corporation,365.05M,0.30,7.41%,69.44%,-,Quarterly,-,8,-,2.90%
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",365.03M,0,-,-,-,-,-,1,-,-
FCRS,FutureCrest Acquisition Corp.,364.77M,0,-,-,-,-,-,1,-,-
GIW,GigCapital8 Corp.,364.72M,0,-,-,-,-,-,1,-,-
GRRR,Gorilla Technology Group Inc.,364.67M,0,-,-,-,-,-,1,-,-
SPIR,"Spire Global, Inc.",362.78M,0,-,-,-,-,-,1,-,-
VOXR,Vox Royalty Corp.,362.62M,0.05,0.95%,-,4.17%,Quarterly,4,4,-,-
CBK,"Commercial Bancgroup, Inc.",362.04M,0.40,1.51%,-,-,-,-,-,-,-
UONEK,"Urban One, Inc.",361.32M,0,-,-,-,-,-,1,-,-
KELYB,"Kelly Services, Inc.",360.39M,0.30,1.46%,-,-,Quarterly,-,15,-,43.10%
SDHI,Siddhi Acquisition Corp.,360.22M,0,-,-,-,-,-,1,-,-
CTRN,"Citi Trends, Inc.",359.62M,0,-,-,-,-,-,-,-,-
USCB,"USCB Financial Holdings, Inc.",359.31M,0.50,2.52%,31.95%,70.00%,Quarterly,2,3,-,-
CAEP,"Cantor Equity Partners III, Inc.",358.87M,0,-,-,-,-,-,1,-,-
NFE,New Fortress Energy Inc.,358.54M,0,-,-,-,-,-,-,-51.00%,-
CDRO,"Codere Online Luxembourg, S.A.",358.52M,0,-,-,-,-,-,1,-,-
KNOP,KNOT Offshore Partners LP,357.76M,0.10,1.02%,8.88%,-,Quarterly,-,14,-59.67%,-45.07%
CCII,Cohen Circle Acquisition Corp. II,357.34M,0,-,-,-,-,-,1,-,-
PBFS,"Pioneer Bancorp, Inc.",357.06M,0,-,-,-,-,-,1,-,-
BACQ,Inflection Point Acquisition Corp. IV,356.15M,0,-,-,-,-,-,1,-,-
TACH,Titan Acquisition Corp,355.70M,0,-,-,-,-,-,-,-,-
FCEL,"FuelCell Energy, Inc.",355.64M,0,-,-,-,-,-,1,-,-
PRE,Prenetics Global Limited,355.42M,0,-,-,-,-,-,-,-,-
AUNA,Auna S.A.,355.26M,0,-,-,-,-,-,1,-,-
CGCT,Cartesian Growth Corporation III,355.01M,0,-,-,-,-,-,-,-,-
PKOH,Park-Ohio Holdings Corp.,353.90M,0.50,1.94%,29.78%,-,Quarterly,-,13,-,14.87%
SMC,Summit Midstream Corporation,353.88M,0,-,-,-,-,-,-,-,-
ISSC,"Innovative Aerosystems, Inc.",353.61M,0,-,-,-,-,-,-,-,-
ONIT,Onity Group Inc.,353.39M,-,-,-,-,-,-,-,-,-
LSAK,"Lesaka Technologies, Inc.",353.36M,0,-,-,-,-,-,1,-,-
GIG,GigCapital7 Corp.,353.00M,-,-,-,-,-,-,-,-,-
RBBN,Ribbon Communications Inc.,352.42M,0,-,-,-,-,-,1,-,-
AENT,Alliance Entertainment Holding Corporation,351.61M,0,-,-,-,-,-,1,-,-
IPCX,Inflection Point Acquisition Corp. III,350.94M,0,-,-,-,-,-,1,-,-
IPSC,"Century Therapeutics, Inc.",350.31M,0,-,-,-,-,-,1,-,-
JFB,JFB Construction Holdings,350.29M,0,-,-,-,-,-,1,-,-
DMAA,Drugs Made In America Acquisition Corp.,350.25M,0,-,-,-,-,-,1,-,-
VALU,"Value Line, Inc.",350.24M,1.30,3.49%,57.56%,8.33%,Quarterly,6,44,9.14%,9.13%
LNKB,"LINKBANCORP, Inc.",350.23M,0.30,3.21%,33.33%,-,Quarterly,-,6,-,-
KCHV,Kochav Defense Acquisition Corp.,349.77M,0,-,-,-,-,-,1,-,-
ASLE,AerSale Corporation,349.64M,0,-,-,-,-,-,1,-,-
JFIN,Jiayin Group Inc.,349.57M,0.80,12.21%,17.31%,-9.71%,Annual,-,3,-,-
BYND,"Beyond Meat, Inc.",349.25M,0,-,-,-,-,-,1,-,-
CEPT,"Cantor Equity Partners II, Inc.",348.92M,0,-,-,-,-,-,-,-,-
TOYO,"TOYO Co., Ltd.",348.28M,0,-,-,-,-,-,1,-,-
NRC,National Research Corporation,347.93M,0.64,4.16%,112.00%,16.67%,Quarterly,1,13,-8.04%,36.08%
FRST,Primis Financial Corp.,347.49M,0.40,2.84%,16.06%,-,Quarterly,-,14,-,-
SOUL,Soulpower Acquisition Corporation,347.34M,0,-,-,-,-,-,-,-,-
BLZR,Trailblazer Acquisition Corp.,347.34M,0,-,-,-,-,-,1,-,-
TARA,"Protara Therapeutics, Inc.",347.25M,0,-,-,-,-,-,-,-,-
AII,"American Integrity Insurance Group, Inc.",347.10M,0,-,-,-,-,-,1,-,-
PBYI,"Puma Biotechnology, Inc.",346.69M,0,-,-,-,-,-,1,-,-
RCKT,"Rocket Pharmaceuticals, Inc.",346.31M,0,-,-,-,-,-,1,-,-
OYSE,Oyster Enterprises II Acquisition Corp,345.93M,0,-,-,-,-,-,1,-,-
DSAC,Daedalus Special Acquisition Corp.,345.84M,0,-,-,-,-,-,1,-,-
NECB,"Northeast Community Bancorp, Inc.",345.35M,1.00,4.06%,30.77%,53.85%,Quarterly,2,20,60.91%,62.03%
DCTH,"Delcath Systems, Inc.",345.27M,0,-,-,-,-,-,1,-,-
ARCI,Archimedes Tech SPAC Partners III Co.,344.61M,0,-,-,-,-,-,1,-,-
TLNC,Talon Capital Corp.,344.55M,0,-,-,-,-,-,1,-,-
HCMA,HCM III Acquisition Corp.,344.08M,0,-,-,-,-,-,1,-,-
NEXN,Nexxen International Ltd.,343.85M,0,-,-,-,-,-,1,-,-
VGZ,Vista Gold Corp.,343.29M,0,-,-,-,-,-,1,-,-
HCIC,Hennessy Capital Investment Corp. VIII,342.19M,0,-,-,-,-,-,1,-,-
ARTNA,Artesian Resources Corporation,340.85M,1.25,3.80%,56.41%,4.04%,Quarterly,32,33,3.71%,3.95%
ZKP,Lafayette Digital Acquisition Corp. I,340.52M,0,-,-,-,-,-,1,-,-
PERI,Perion Network Ltd.,340.38M,0,-,-,-,-,-,-,-,-
SITC,SITE Centers Corp.,339.96M,6.75,104.17%,"1,241.63%",-,Quarterly,1,33,48.05%,60.19%
SY,So-Young International Inc.,339.77M,0.03,0.78%,-,-,Annual,-,2,-,-
OTLY,Oatly Group AB,339.66M,0,-,-,-,-,-,-,-,-
RXST,"RxSight, Inc.",339.62M,0,-,-,-,-,-,1,-,-
SCM,Stellus Capital Investment Corporation,339.55M,1.36,11.59%,142.68%,-2.50%,Monthly,-,15,4.17%,6.85%
BDCI,BTC Development Corp.,339.33M,0,-,-,-,-,-,1,-,-
DBI,Designer Brands Inc.,339.01M,0.20,2.93%,-,-,Quarterly,-,4,-,31.95%
IMMX,"Immix Biopharma, Inc.",338.31M,0,-,-,-,-,-,-,-,-
EVI,"EVI Industries, Inc.",337.81M,0.33,1.38%,84.31%,6.45%,Annual,5,3,5.63%,3.34%
VACH,Voyager Acquisition Corp.,337.76M,0,-,-,-,-,-,1,-,-
