Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
SLNG,"Stabilis Solutions, Inc.",103.77M,0,-,-,-,-,-,1,-,-
SLNH,"Soluna Holdings, Inc.",103.50M,0,-,-,-,-,-,-,-,-
VANI,"Vivani Medical, Inc.",103.01M,0,-,-,-,-,-,1,-,-
AMTX,"Aemetis, Inc.",102.94M,0,-,-,-,-,-,1,-,-
IDN,"Intellicheck, Inc.",102.84M,0,-,-,-,-,-,1,-,-
GPMT,Granite Point Mortgage Trust Inc.,102.40M,0.20,9.26%,-,-33.33%,Quarterly,-,9,-39.43%,-25.98%
CHPG,ChampionsGate Acquisition Corporation,102.38M,0,-,-,-,-,-,1,-,-
SERA,"Sera Prognostics, Inc.",102.28M,0,-,-,-,-,-,-,-,-
STIM,"Neuronetics, Inc.",102.04M,0,-,-,-,-,-,1,-,-
SEER,"Seer, Inc.",101.82M,0,-,-,-,-,-,1,-,-
STHO,Star Holdings,101.76M,0,-,-,-,-,-,1,-,-
FEAM,"5E Advanced Materials, Inc.",101.70M,0,-,-,-,-,-,1,-,-
RXT,"Rackspace Technology, Inc.",101.46M,0,-,-,-,-,-,-,-,-
AGEN,Agenus Inc.,101.34M,-,-,-,-,-,-,-,-,-
VIRC,Virco Mfg. Corporation,101.34M,0.10,1.56%,41.17%,11.11%,Quarterly,2,3,71.00%,37.97%
COHN,Cohen & Company Inc.,101.23M,1.00,5.73%,120.23%,-,Quarterly,-,6,44.22%,64.38%
TWG,Top Wealth Group Holding Limited,100.80M,0,-,-,-,-,-,1,-,-
BTMD,biote Corp.,100.46M,0,-,-,-,-,-,1,-,-
BLNK,Blink Charging Co.,100.32M,0,-,-,-,-,-,1,-,-
AEYE,"AudioEye, Inc.",100.22M,0,-,-,-,-,-,1,-,-
NCSM,"NCS Multistage Holdings, Inc.",99.76M,0,-,-,-,-,-,1,-,-
ANIX,"Anixa Biosciences, Inc.",99.47M,0,-,-,-,-,-,1,-,-
BGL,Blue Gold Limited,99.47M,0,-,-,-,-,-,1,-,-
NOEM,CO2 Energy Transition Corp.,99.21M,0,-,-,-,-,-,1,-,-
SAVA,"Cassava Sciences, Inc.",99.03M,0,-,-,-,-,-,-,-,-
ACTU,"Actuate Therapeutics, Inc.",98.78M,0,-,-,-,-,-,1,-,-
IH,iHuman Inc.,98.62M,0.09,4.40%,31.04%,-,-,2,2,-,-
LAKE,"Lakeland Industries, Inc.",98.16M,0.12,1.20%,-,-,Quarterly,-,3,-,-
SLSN,"Solesence, Inc.",98.05M,0,-,-,-,-,-,-,-,-
CTOR,"Citius Oncology, Inc.",97.99M,0,-,-,-,-,-,1,-,-
SLND,"Southland Holdings, Inc.",97.40M,0,-,-,-,-,-,1,-,-
DTSQ,DT Cloud Star Acquisition Corporation,97.02M,0,-,-,-,-,-,1,-,-
SPKL,Spark I Acquisition Corporation,96.89M,0,-,-,-,-,-,1,-,-
CCLD,"CareCloud, Inc.",96.67M,0,-,-,-,-,-,1,-,-
ICG,Intchains Group Limited,96.53M,0,-,-,-,-,-,1,-,-
VIOT,"Viomi Technology Co., Ltd",96.51M,0.07,5.27%,21.06%,-,-,-,1,-,-
IXHL,Incannex Healthcare Inc.,96.22M,0,-,-,-,-,-,1,-,-
OMEX,"Odyssey Marine Exploration, Inc.",95.87M,0,-,-,-,-,-,1,-,-
SNCR,"Synchronoss Technologies, Inc.",95.83M,0,-,-,-,-,-,1,-,-
CHMI,Cherry Hill Mortgage Investment Corporation,95.75M,0.40,15.63%,"2,668.66%",-16.67%,Quarterly,-,13,-22.64%,-14.27%
FLNT,"Fluent, Inc.",95.72M,-,-,-,-,-,-,-,-,-
ABVE,Above Food Ingredients Inc.,95.22M,0,-,-,-,-,-,1,-,-
NBY,"NovaBay Pharmaceuticals, Inc.",94.79M,0,-,-,-,-,1,1,-,-
WRAP,"Wrap Technologies, Inc.",94.78M,0,-,-,-,-,-,1,-,-
DWTX,"Dogwood Therapeutics, Inc.",94.64M,0,-,-,-,-,-,1,-,-
CGTX,"Cognition Therapeutics, Inc.",94.45M,0,-,-,-,-,-,1,-,-
SPAI,Safe Pro Group Inc.,94.38M,0,-,-,-,-,-,1,-,-
CGTL,Creative Global Technology Holdings Limited,94.15M,0,-,-,-,-,-,1,-,-
SSBI,Summit State Bank,93.99M,0,-,-,-,-,-,19,-5.90%,-1.73%
JLHL,Julong Holding Limited,93.95M,0,-,-,-,-,-,1,-,-
BOTJ,"Bank of the James Financial Group, Inc.",93.64M,0.40,1.94%,20.14%,-,Quarterly,-,13,10.06%,9.46%
XBP,"XBP Global Holdings, Inc.",93.43M,0,-,-,-,-,-,-,-,-
AISP,"Airship AI Holdings, Inc.",92.96M,0,-,-,-,-,-,1,-,-
ONCY,Oncolytics Biotech Inc.,92.90M,0,-,-,-,-,-,-,-,-
GNSS,Genasys Inc.,92.65M,0,-,-,-,-,-,-,-,-
DLTH,Duluth Holdings Inc.,92.55M,0,-,-,-,-,-,1,-,-
PLCE,"The Children's Place, Inc.",92.44M,0,-,-,-,-,-,-,-,-
CTW,CTW Cayman,92.35M,0,-,-,-,-,-,-,-,-
ORIQ,Origin Investment Corp I,92.31M,0,-,-,-,-,-,1,-,-
BMEA,"Biomea Fusion, Inc.",91.91M,0,-,-,-,-,-,1,-,-
OPTT,"Ocean Power Technologies, Inc.",91.81M,0,-,-,-,-,-,1,-,-
ARTV,"Artiva Biotherapeutics, Inc.",91.80M,0,-,-,-,-,-,1,-,-
DTIL,"Precision BioSciences, Inc.",91.71M,0,-,-,-,-,-,1,-,-
KG,Kestrel Group Ltd,91.66M,0,-,-,-,-,-,1,-,-
EQ,"Equillium, Inc.",91.34M,0,-,-,-,-,-,-,-,-
LCCC,Lakeshore Acquisition III Corp.,91.28M,0,-,-,-,-,-,1,-,-
HSPT,Horizon Space Acquisition II Corp.,91.07M,0,-,-,-,-,-,-,-,-
GECC,Great Elm Capital Corp.,90.99M,1.53,23.54%,-,2.07%,Quarterly,1,10,-4.51%,-21.87%
CSBR,"Champions Oncology, Inc.",90.96M,0,-,-,-,-,-,1,-,-
SNT,Senstar Technologies Corporation,90.76M,0,-,-,-,-,-,-,-,-
BMHL,Bluemount Holdings Limited,90.60M,0,-,-,-,-,-,-,-,-
GCL,GCL Global Holdings Ltd,90.37M,0,-,-,-,-,-,1,-,-
FNWB,First Northwest Bancorp,90.34M,0.14,1.37%,-,-,-,-,8,-,4.94%
RFAI,RF Acquisition Corp II,90.20M,0,-,-,-,-,-,1,-,-
FUSB,"First US Bancshares, Inc.",90.11M,0.28,1.77%,28.00%,27.27%,Quarterly,4,12,20.51%,18.47%
GMGI,"Golden Matrix Group, Inc.",90.00M,0,-,-,-,-,-,1,-,-
CPSH,CPS Technologies Corporation,89.72M,0,-,-,-,-,-,1,-,-
IROQ,"IF Bancorp, Inc.",89.69M,0.40,1.45%,24.44%,-,Semi-Annual,-,13,-,5.92%
HAIN,"The Hain Celestial Group, Inc.",89.67M,0,-,-,-,-,-,-,-,-
KNDI,"Kandi Technologies Group, Inc.",89.43M,0,-,-,-,-,-,1,-,-
ODYS,Odysight.ai Inc.,89.15M,0,-,-,-,-,-,1,-,-
PEW,GrabAGun Digital Holdings Inc.,89.15M,0,-,-,-,-,-,1,-,-
HFFG,HF Foods Group Inc.,89.11M,0,-,-,-,-,-,1,-,-
SSTI,"SoundThinking, Inc.",89.02M,0,-,-,-,-,-,1,-,-
QVCGA,QVC Group Inc.,89.00M,0,-,-,-,-,-,-,-,-
MMTX,Miluna Acquisition Corp,88.28M,0,-,-,-,-,-,1,-,-
ATYR,"aTyr Pharma, Inc.",88.14M,0,-,-,-,-,-,1,-,-
EXOZ,"eXoZymes, Inc.",87.57M,0,-,-,-,-,-,1,-,-
AUBN,"Auburn National Bancorporation, Inc.",87.52M,1.08,4.31%,52.01%,-,Quarterly,-,31,0.47%,1.05%
HSDT,Solana Company,87.15M,0,-,-,-,-,-,1,-,-
KORE,"KORE Group Holdings, Inc.",87.00M,0,-,-,-,-,-,1,-,-
ELBM,Electra Battery Materials Corporation,86.93M,0,-,-,-,-,-,1,-,-
BLNE,"Beeline Holdings, Inc.",86.87M,0,-,-,-,-,-,1,-,-
NNBR,"NN, Inc.",86.84M,0,-,-,-,-,-,-,-,-
IMUX,"Immunic, Inc.",85.88M,0,-,-,-,-,-,-,-,-
FSP,Franklin Street Properties Corp.,85.85M,0.04,4.83%,-,-,Quarterly,-,22,-30.66%,-35.56%
PFX,PhenixFIN Corporation,85.58M,1.43,3.34%,69.35%,-,-,2,2,27.89%,86.63%
PYXS,"Pyxis Oncology, Inc.",85.30M,0,-,-,-,-,-,1,-,-
NRT,North European Oil Royalty Trust,85.29M,0.81,8.73%,114.61%,110.64%,Quarterly,1,51,-27.33%,28.73%
SPRU,Spruce Power Holding Corporation,85.03M,0,-,-,-,-,-,1,-,-
DLHC,DLH Holdings Corp.,84.64M,0,-,-,-,-,-,-,-,-
SPRB,"Spruce Biosciences, Inc.",84.63M,0,-,-,-,-,-,1,-,-
FDSB,"Fifth District Bancorp, Inc.",84.50M,0,-,-,-,-,-,1,-,-
MXCT,"MaxCyte, Inc.",84.42M,0,-,-,-,-,-,1,-,-
AURE,Aurelion Inc.,84.42M,0,-,-,-,-,-,1,-,-
OM,"Outset Medical, Inc.",84.41M,0,-,-,-,-,-,-,-,-
ALIS,Calisa Acquisition Corp,84.30M,0,-,-,-,-,-,1,-,-
FLL,"Full House Resorts, Inc.",84.16M,0,-,-,-,-,-,1,-,-
MRNO,Murano Global Investments Plc,84.07M,0,-,-,-,-,-,1,-,-
CAPN,Cayson Acquisition Corp,84.02M,0,-,-,-,-,-,1,-,-
BTCS,BTCS Inc.,83.84M,0.05,2.79%,2.83%,-,-,1,1,-,-
XTNT,"Xtant Medical Holdings, Inc.",83.76M,0,-,-,-,-,-,1,-,-
HLP,Hongli Group Inc.,83.72M,0,-,-,-,-,-,1,-,-
HOVR,New Horizon Aircraft Ltd.,83.64M,0,-,-,-,-,-,1,-,-
COLA,Columbus Acquisition Corp,83.26M,0,-,-,-,-,-,-,-,-
NTIC,Northern Technologies International Corporation,83.06M,0.04,0.46%,-,-85.71%,Quarterly,-,10,-47.72%,-9.25%
PBHC,"Pathfinder Bancorp, Inc.",82.92M,0.40,3.08%,-,-,Quarterly,5,31,3.57%,10.76%
YHNA,YHN Acquisition I Limited,82.62M,0,-,-,-,-,-,1,-,-
CTM,"Castellum, Inc.",82.31M,0,-,-,-,-,-,1,-,-
UBCP,"United Bancorp, Inc.",82.21M,0.94,6.56%,68.66%,7.60%,Quarterly,6,33,5.43%,6.55%
CHGG,"Chegg, Inc.",81.95M,0,-,-,-,-,-,-,-,-
QMCO,Quantum Corporation,81.50M,0,-,-,-,-,-,-,-,-
LPA,Logistic Properties of the Americas,81.26M,0,-,-,-,-,-,1,-,-
VHC,VirnetX Holding Corporation,81.19M,0,-,-,-,-,-,-,-,-
APAC,StoneBridge Acquisition II Corporation,81.07M,0,-,-,-,-,-,1,-,-
CSTE,Caesarstone Ltd.,80.86M,0,-,-,-,-,-,-,-,-
SRTS,"Sensus Healthcare, Inc.",80.81M,0,-,-,-,-,-,1,-,-
MLCI,Mount Logan Capital Inc.,80.79M,0.12,1.92%,-,-14.38%,Quarterly,-,7,-5.75%,-3.76%
PODC,"PodcastOne, Inc.",80.73M,0,-,-,-,-,-,1,-,-
OKYO,OKYO Pharma Limited,80.70M,0,-,-,-,-,-,-,-,-
MNOV,"MediciNova, Inc.",80.60M,0,-,-,-,-,-,1,-,-
FVN,Future Vision II Acquisition Corp.,80.49M,0,-,-,-,-,-,1,-,-
WNW,Meiwu Technology Company Limited,80.47M,0,-,-,-,-,-,1,-,-
DDC,DDC Enterprise Limited,80.45M,0,-,-,-,-,-,1,-,-
MHH,"Mastech Digital, Inc.",80.36M,0,-,-,-,-,-,-,-,-
GAIA,"Gaia, Inc.",80.14M,0,-,-,-,-,-,-,-,-
ATOM,Atomera Incorporated,79.84M,0,-,-,-,-,-,1,-,-
INVE,"Identiv, Inc.",79.58M,0,-,-,-,-,-,-,-,-
HNNA,"Hennessy Advisors, Inc.",79.40M,0.55,5.47%,48.96%,2.27%,Quarterly,-,22,0.75%,0.45%
YTRA,"Yatra Online, Inc.",79.10M,0,-,-,-,-,-,1,-,-
CPHC,Canterbury Park Holding Corporation,79.04M,0.28,1.81%,-,-,Quarterly,-,4,-,31.95%
BDSX,"Biodesix, Inc.",79.00M,0,-,-,-,-,-,1,-,-
UYSC,UY Scuti Acquisition Corp.,78.88M,0,-,-,-,-,-,1,-,-
MAYS,"J.W. Mays, Inc.",78.62M,0,-,-,-,-,-,1,-,-
RSSS,"Research Solutions, Inc.",78.56M,0,-,-,-,-,-,1,-,-
SYPR,"Sypris Solutions, Inc.",78.53M,0,-,-,-,-,-,-,-,-
IBIO,"iBio, Inc.",78.42M,0,-,-,-,-,-,1,-,-
IMA,"ImageneBio, Inc.",78.39M,0,-,-,-,-,-,1,-,-
AMPG,"AmpliTech Group, Inc.",78.06M,0,-,-,-,-,-,1,-,-
MOB,Mobilicom Limited,77.27M,0,-,-,-,-,-,1,-,-
ASRT,"Assertio Holdings, Inc.",77.13M,0,-,-,-,-,-,1,-,-
WSTN,Westin Acquisition Corp,77.00M,0,-,-,-,-,-,1,-,-
SSEA,Starry Sea Acquisition Corp,76.97M,0,-,-,-,-,-,1,-,-
RITR,Reitar Logtech Holdings Limited,76.81M,0,-,-,-,-,-,1,-,-
SVRE,SaverOne 2014 Ltd.,76.48M,0,-,-,-,-,-,-,-,-
XGN,Exagen Inc.,76.37M,0,-,-,-,-,-,1,-,-
PYPD,PolyPid Ltd.,76.19M,0,-,-,-,-,-,1,-,-
MAIA,"MAIA Biotechnology, Inc.",75.77M,0,-,-,-,-,-,1,-,-
GMHS,Gamehaus Holdings Inc.,75.74M,0,-,-,-,-,-,1,-,-
BSAA,BEST SPAC I Acquisition Corp.,75.47M,0,-,-,-,-,-,1,-,-
MIND,"MIND Technology, Inc.",75.47M,0,-,-,-,-,-,1,-,-
UFI,"Unifi, Inc.",75.44M,0,-,-,-,-,-,-,-,-
NSPR,"InspireMD, Inc.",75.42M,0,-,-,-,-,-,1,-,-
PRPL,"Purple Innovation, Inc.",75.41M,0,-,-,-,-,-,1,-,-
LCUT,"Lifetime Brands, Inc.",75.22M,0.17,5.12%,-,-,Quarterly,-,16,-,-
IOR,"Income Opportunity Realty Investors, Inc.",75.14M,0,-,-,-,-,-,-,-,-
HYFT,MindWalk Holdings Corp.,74.71M,0,-,-,-,-,-,1,-,-
WTG,Wintergreen Acquisition Corp.,74.64M,0,-,-,-,-,-,1,-,-
FLD,"Fold Holdings, Inc.",74.39M,0,-,-,-,-,-,-,-,-
LSE,"Leishen Energy Holding Co., Ltd.",73.72M,0,-,-,-,-,-,1,-,-
BPAC,Blueport Acquisition Ltd,73.70M,0,-,-,-,-,-,1,-,-
DIT,AMCON Distributing Company,73.68M,1.00,0.88%,61.24%,-,Quarterly,-,19,-44.08%,-29.45%
BYFC,Broadway Financial Corporation,73.45M,0,-,-,-,-,-,-,-,-
ACET,"Adicet Bio, Inc.",73.27M,0,-,-,-,-,-,1,-,-
UPXI,"Upexi, Inc.",73.25M,0,-,-,-,-,-,1,-,-
TOUR,Tuniu Corporation,73.20M,0.04,5.71%,443.83%,-,-,1,1,-,-
NCTY,The9 Limited,73.04M,0,-,-,-,-,-,-,-,-
CBAT,"CBAK Energy Technology, Inc.",73.02M,0,-,-,-,-,-,1,-,-
LIDR,"AEye, Inc.",72.99M,0,-,-,-,-,-,1,-,-
MB,MasterBeef Group,72.91M,0,-,-,-,-,-,1,-,-
FSI,"Flexible Solutions International, Inc.",72.73M,0.10,1.75%,71.45%,-,Annual,-,3,25.99%,14.87%
VATE,INNOVATE Corp.,72.71M,0,-,-,-,-,-,-,-,-
BRID,Bridgford Foods Corporation,72.52M,0,-,-,-,-,-,-,-,-
ALOT,"AstroNova, Inc.",72.49M,0,-,-,-,-,-,-,-,-
SGA,"Saga Communications, Inc.",72.45M,1.00,8.80%,"2,095.43%",-37.50%,Quarterly,-,14,-41.32%,44.27%
GRWG,GrowGeneration Corp.,72.41M,0,-,-,-,-,-,1,-,-
MCHX,"Marchex, Inc.",72.26M,0,-,-,-,-,-,-,-,-
PARK,"Park Dental Partners, Inc.",72.18M,0,-,-,-,-,-,1,-,-
VRA,"Vera Bradley, Inc.",72.12M,0,-,-,-,-,-,-,-,-
ONEG,OneConstruction Group Limited,72.00M,0,-,-,-,-,-,1,-,-
GCTS,"GCT Semiconductor Holding, Inc.",71.95M,0,-,-,-,-,-,1,-,-
PLRX,"Pliant Therapeutics, Inc.",71.90M,0,-,-,-,-,-,-,-,-
SFWL,Shengfeng Development Limited,71.77M,0,-,-,-,-,-,1,-,-
DXR,Daxor Corporation,71.67M,0,-,-,-,-,-,-,-,-
DCGO,DocGo Inc.,71.27M,0,-,-,-,-,-,1,-,-
ZTEK,Zentek Ltd.,71.15M,0,-,-,-,-,-,1,-,-
GPUS,"Hyperscale Data, Inc.",70.85M,-,-,-,-,-,-,-,-,-
BODI,"The Beachbody Company, Inc.",70.81M,0,-,-,-,-,-,1,-,-
XBIT,XBiotech Inc.,70.73M,0,-,-,-,-,-,-,-,-
TORO,Toro Corp.,70.52M,0,-,-,-,-,-,1,-,-
DWSN,Dawson Geophysical Company,70.48M,0,-,-,-,-,-,-,-,-
DRIO,DarioHealth Corp.,70.42M,0,-,-,-,-,-,-,-,-
AMWL,American Well Corporation,70.23M,0,-,-,-,-,-,1,-,-
LFT,"Lument Finance Trust, Inc.",70.17M,0.16,11.94%,233.69%,-45.00%,Quarterly,-,13,-2.86%,-10.35%
SOGP,Sound Group Inc.,69.75M,0.98,6.33%,175.42%,-,-,1,1,-,-
COEP,"Coeptis Therapeutics Holdings, Inc.",69.64M,0,-,-,-,-,-,-,-,-
ZOOZ,ZOOZ Strategy Ltd.,69.62M,0,-,-,-,-,-,1,-,-
CPBI,"Central Plains Bancshares, Inc.",69.40M,0,-,-,-,-,-,1,-,-
ATHE,Alterity Therapeutics Limited,69.36M,0,-,-,-,-,-,1,-,-
NA,Nano Labs Ltd,69.35M,0,-,-,-,-,-,1,-,-
NOMA,Nomadar Corp.,69.34M,0,-,-,-,-,-,1,-,-
HAO,Haoxi Health Technology Limited,68.95M,0,-,-,-,-,-,1,-,-
MGRT,Mega Fortune Company Limited,68.89M,0,-,-,-,-,-,1,-,-
GANX,"Gain Therapeutics, Inc.",68.85M,0,-,-,-,-,-,1,-,-
SKIL,Skillsoft Corp.,68.84M,0,-,-,-,-,-,1,-,-
AMTD,AMTD IDEA Group,68.79M,0,-,-,-,-,-,1,-,-
FNGR,"FingerMotion, Inc.",68.64M,0,-,-,-,-,-,1,-,-
XPL,Solitario Resources Corp.,68.18M,0,-,-,-,-,-,1,-,-
PTHS,Pelthos Therapeutics Inc.,68.15M,0,-,-,-,-,-,-,-,-
RRGB,"Red Robin Gourmet Burgers, Inc.",68.09M,0,-,-,-,-,-,1,-,-
SLGB,Smart Logistics Global Limited,67.65M,0,-,-,-,-,-,1,-,-
CCG,Cheche Group Inc.,67.58M,0,-,-,-,-,-,1,-,-
RIBB,Ribbon Acquisition Corp.,67.55M,0,-,-,-,-,-,-,-,-
RCT,RedCloud Holdings plc,67.25M,0,-,-,-,-,-,1,-,-
ANVS,"Annovis Bio, Inc.",65.99M,0,-,-,-,-,-,1,-,-
GUTS,"Fractyl Health, Inc.",65.95M,0,-,-,-,-,-,-,-,-
CLST,"Catalyst Bancorp, Inc.",65.82M,0,-,-,-,-,-,1,-,-
HOUR,"Hour Loop, Inc.",65.78M,0,-,-,-,-,-,1,-,-
ARAY,Accuray Incorporated,65.51M,0,-,-,-,-,-,1,-,-
GRAN,Grande Group Limited,65.50M,0,-,-,-,-,-,1,-,-
GEG,"Great Elm Group, Inc.",65.49M,0,-,-,-,-,-,-,-,-
ATHR,"Aether Holdings, Inc.",65.43M,0,-,-,-,-,-,1,-,-
TGE,The Generation Essentials Group,65.42M,0,-,-,-,-,-,-,-,-
STG,Sunlands Technology Group,65.25M,0,-,-,-,-,-,-,-,-
ETHZ,ETHZilla Corporation,65.21M,0,-,-,-,-,-,1,-,-
BURU,"Nuburu, Inc.",64.95M,0,-,-,-,-,-,1,-,-
FORA,Forian Inc.,64.94M,0,-,-,-,-,-,1,-,-
LFVN,LifeVantage Corporation,64.86M,0.18,3.55%,29.93%,12.50%,Quarterly,1,5,14.47%,-
APWC,Asia Pacific Wire & Cable Corporation Limited,64.77M,0,-,-,-,-,-,-,-,-
BGSF,"BGSF, Inc.",64.73M,2.00,34.60%,-,-,Semi-Annual,1,12,64.41%,46.14%
TISI,"Team, Inc.",64.69M,0,-,-,-,-,-,-,-,-
BENF,Beneficient,64.52M,0,-,-,-,-,-,1,-,-
FGNX,FG Nexus Inc.,64.51M,0,-,-,-,-,-,1,-,-
SEV,Aptera Motors Corp.,64.36M,0,-,-,-,-,-,-,-,-
HIT,"Health In Tech, Inc.",64.31M,0,-,-,-,-,-,1,-,-
RFL,"Rafael Holdings, Inc.",64.19M,0,-,-,-,-,-,1,-,-
AIIO,Robo.ai Inc.,64.18M,0,-,-,-,-,-,1,-,-
NBRG,Newbridge Acquisition Limited,64.12M,0,-,-,-,-,-,1,-,-
LUNG,Pulmonx Corporation,63.93M,0,-,-,-,-,-,-,-,-
AVX,Avax One Technology Ltd.,63.82M,0,-,-,-,-,-,1,-,-
QTI,"QT Imaging Holdings, Inc.",63.80M,0,-,-,-,-,-,1,-,-
STKS,"The ONE Group Hospitality, Inc.",63.76M,0,-,-,-,-,-,1,-,-
EHTH,"eHealth, Inc.",63.68M,0,-,-,-,-,-,-,-,-
RMCO,Royalty Management Holding Corporation,63.59M,0.01,0.24%,-,-,Quarterly,1,2,-,-
AIRT,"Air T, Inc.",63.43M,0,-,-,-,-,-,-,-,-
GENK,"GEN Restaurant Group, Inc.",63.25M,0.03,1.56%,-,-,-,1,1,-,-
MYPS,"PLAYSTUDIOS, Inc.",63.18M,0,-,-,-,-,-,1,-,-
SOTK,Sono-Tek Corporation,63.16M,0,-,-,-,-,-,1,-,-
SUUN,PowerBank Corporation,63.12M,0,-,-,-,-,-,-,-,-
YI,"111, Inc.",63.10M,0,-,-,-,-,-,1,-,-
BRIA,BrilliA Inc,63.09M,0.27,12.91%,110.29%,-,-,1,1,-,-
PETS,"PetMed Express, Inc.",62.84M,0,-,-,-,-,-,-,-,1.39%
XTIA,"XTI Aerospace, Inc.",62.81M,0,-,-,-,-,-,1,-,-
INTG,The InterGroup Corporation,62.75M,0,-,-,-,-,-,-,-,-
GROV,"Grove Collaborative Holdings, Inc.",62.50M,0,-,-,-,-,-,1,-,-
BTM,Bitcoin Depot Inc.,62.36M,0,-,-,-,-,-,1,-,-
KZIA,Kazia Therapeutics Limited,62.33M,-,-,-,-,-,-,-,-,-
OPHC,"OptimumBank Holdings, Inc.",62.26M,0,-,-,-,-,-,1,-,-
BYSI,BeyondSpring Inc.,62.09M,0,-,-,-,-,-,1,-,-
NSTS,"NSTS Bancorp, Inc.",61.94M,0,-,-,-,-,-,-,-,-
OTH,Off The Hook YS Inc.,61.75M,0,-,-,-,-,-,-,-,-
MREO,Mereo BioPharma Group plc,61.74M,0,-,-,-,-,-,1,-,-
BDL,"Flanigan's Enterprises, Inc.",61.73M,0.55,1.66%,20.31%,10.00%,-,2,4,6.92%,-11.27%
WKEY,WISeKey International Holding AG,61.68M,0,-,-,-,-,-,1,-,-
SPHL,Springview Holdings Ltd,61.56M,0,-,-,-,-,-,1,-,-
UCL,uCloudlink Group Inc.,61.34M,0,-,-,-,-,-,1,-,-
ENTX,Entera Bio Ltd.,60.99M,0,-,-,-,-,-,-,-,-
LFS,"Leifras Co., Ltd.",60.69M,0,-,-,-,-,-,1,-,-
TEAD,Teads Holding Co.,60.59M,0,-,-,-,-,-,1,-,-
IBAC,IB Acquisition Corp.,60.56M,0,-,-,-,-,-,-,-,-
LOOP,"Loop Industries, Inc.",60.42M,0,-,-,-,-,-,1,-,-
AGH,Aureus Greenway Holdings Inc.,60.38M,0,-,-,-,-,-,1,-,-
CVGI,"Commercial Vehicle Group, Inc.",60.23M,0,-,-,-,-,-,1,-,-
MATH,Metalpha Technology Holding Limited,60.20M,0,-,-,-,-,-,1,-,-
ICCC,ImmuCell Corporation,60.06M,0,-,-,-,-,-,1,-,-
ESLA,"Estrella Immunopharma, Inc.",59.90M,0,-,-,-,-,-,-,-,-
CIGL,Concorde International Group Ltd.,59.64M,0,-,-,-,-,-,-,-,-
ASRV,"AmeriServ Financial, Inc.",59.31M,0.12,3.34%,35.32%,-,Quarterly,-,14,-,3.71%
AIRG,"Airgain, Inc.",59.31M,0,-,-,-,-,-,1,-,-
ASPS,Altisource Portfolio Solutions S.A.,59.15M,-,-,-,-,-,-,-,-,-
DOMH,Dominari Holdings Inc.,59.05M,0.65,17.91%,7.10%,103.75%,Semi-Annual,-,2,26.77%,15.30%
LIVE,Live Ventures Incorporated,59.01M,0,-,-,-,-,-,-,-,-
NRXP,"NRx Pharmaceuticals, Inc.",58.91M,0,-,-,-,-,-,1,-,-
TZOO,Travelzoo,58.82M,0,-,-,-,-,-,-,-,-
DSWL,"Deswell Industries, Inc.",58.80M,0.20,5.42%,25.64%,-,Semi-Annual,-,30,-,1.03%
PMVP,"PMV Pharmaceuticals, Inc.",58.53M,0,-,-,-,-,-,-,-,-
HTCO,High-Trend International Group,58.50M,0,-,-,-,-,-,1,-,-
IZEA,"IZEA Worldwide, Inc.",58.40M,0,-,-,-,-,-,1,-,-
ELTK,Eltek Ltd.,58.29M,0.19,2.19%,82.64%,-,-,-,1,-13.48%,-
GMM,Global Mofy AI Limited,58.24M,0,-,-,-,-,-,1,-,-
IFRX,InflaRx N.V.,58.10M,0,-,-,-,-,-,1,-,-
PVL,Permianville Royalty Trust,58.08M,0.18,10.23%,225.69%,-,Monthly,1,16,-32.71%,61.89%
LVO,"LiveOne, Inc.",57.96M,-,-,-,-,-,-,-,-,-
SELF,"Global Self Storage, Inc.",57.82M,0.29,5.69%,180.92%,-,Quarterly,-,12,0.88%,2.21%
PED,PEDEVCO Corp.,57.62M,0,-,-,-,-,-,1,-,-
CPIX,Cumberland Pharmaceuticals Inc.,57.58M,0,-,-,-,-,-,1,-,-
WFCF,"Where Food Comes From, Inc.",57.51M,0,-,-,-,-,-,-,-,-
MGX,"Metagenomi Therapeutics, Inc.",57.45M,0,-,-,-,-,-,1,-,-
BEAT,"HeartBeam, Inc.",57.37M,0,-,-,-,-,-,1,-,-
FUSE,Fusemachines Inc.,57.30M,0,-,-,-,-,-,1,-,-
OFS,OFS Capital Corporation,57.21M,0.68,15.93%,493.61%,-12.50%,Quarterly,-,13,-0.55%,10.57%
HKIT,Hitek Global Inc.,57.13M,0,-,-,-,-,-,1,-,-
CATO,The Cato Corporation,57.07M,0,-,-,-,-,-,33,-,43.95%
FSEA,"First Seacoast Bancorp, Inc.",57.07M,0,-,-,-,-,-,1,-,-
WYY,WidePoint Corporation,56.97M,0,-,-,-,-,-,1,-,-
OESX,"Orion Energy Systems, Inc.",56.82M,0,-,-,-,-,-,1,-,-
SKLZ,Skillz Inc.,56.81M,0,-,-,-,-,-,1,-,-
RGS,Regis Corporation,56.78M,0,-,-,-,-,-,-,-,-
GRCE,"Grace Therapeutics, Inc.",56.17M,0,-,-,-,-,-,1,-,-
UEIC,Universal Electronics Inc.,56.14M,0,-,-,-,-,-,-,-,-
OCC,Optical Cable Corporation,56.06M,0,-,-,-,-,-,-,-,-
