Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
ED,"Consolidated Edison, Inc.",38.50B,3.55,0.0333,0.5992999999999999,0.0292,Quarterly,53.0,56.0,0.0263,0.0229,Aristocrat+King,0.0354,0.03892161441958517,0.030768875991870264,0.05587698688554123,0.04302753407449072,0.030768875991870264,0.05773857107803461,Utilities,Utilities - Regulated Electric,-0.07,110.37,8.84,-0.05932203389830502,-0.2260769594104575
ROP,"Roper Technologies, Inc.",37.49B,3.64,0.0104,0.2384,0.1008,Quarterly,34.0,35.0,0.09119999999999999,0.095,Aristocrat,0.0056,0.005852590425793172,0.004634815285176022,0.010435181249843616,0.0060185823350150545,0.004634815285176022,0.010435181249843616,Technology,Software - Application,5.58,46.78,7.93,0.8571428571428571,0.7279816775945104
FITB,Fifth Third Bancorp,35.92B,1.60,0.029500000000000002,0.4363,0.0694,Quarterly,15.0,51.0,0.0608,0.0735,SCHD,0.0355,0.04001511026998924,0.02783960910021524,0.06644115394203423,0.040401226130805296,0.025018731372640834,0.10441717704864026,Financial Services,Banks - Regional,0.0,0.0,12.19,-0.16901408450704214,-0.2698241408691624
PAYX,"Paychex, Inc.",35.21B,4.32,0.044000000000000004,0.9773000000000001,0.102,Quarterly,12.0,39.0,0.1099,0.1174,SCHD,0.027,0.030261595746758404,0.021091652942029818,0.04446731788109375,0.03478438490600825,0.021091652942029818,0.058784100843047235,Technology,Software - Application,1.33,129.81,40.88,0.6296296296296298,0.26493540474823685
KVUE,Kenvue Inc.,34.83B,0.83,0.045700000000000005,1.1067,0.015300000000000001,Quarterly,3.0,4.0,,,Aristocrat+King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Consumer Defensive,Household & Personal Products,1.1,85.66,13.47,0.0,0.0
KMB,Kimberly-Clark Corporation,34.75B,5.12,0.0489,0.8349,0.0285,Quarterly,54.0,56.0,0.0278,0.030699999999999998,Aristocrat+King+SCHD,0.0363,0.040233446708362236,0.034821668555560646,0.05166051789795317,0.04070799117767754,0.03283221075236043,0.053257746167548664,Consumer Defensive,Household & Personal Products,0.66,441.1,126.6,0.34710743801652894,0.20123834621479914
ADM,Archer-Daniels-Midland Company,32.37B,2.08,0.030899999999999997,0.9204000000000001,0.0199,Quarterly,53.0,56.0,0.075,0.0717,Aristocrat+King+SCHD,0.0271,0.02968401640816887,0.018043329416341892,0.050159161854430555,0.03418771279173214,0.018043329416341892,0.057930850960567874,Consumer Defensive,Farm Products,2.36,36.52,4.72,0.14022140221402207,-0.09616650320425163
DOV,Dover Corporation,30.86B,2.08,0.0092,0.2605,0.0098,Quarterly,71.0,71.0,0.009000000000000001,0.009399999999999999,Aristocrat+King,0.0128,0.013249959122107415,0.009244855101188916,0.018039033305914692,0.01856710712082212,0.009244855101188916,0.03509223045667272,Industrials,Specialty Industrial Machinery,3.05,44.94,15.29,-0.28125000000000006,-0.5045000850087927
HAL,Halliburton Company,29.23B,0.68,0.0195,0.4533,,Quarterly,,55.0,0.0935,0.3045,SCHD,0.0168,0.018549566800192905,0.0058198976305085205,0.03609940067531738,0.022344447109662605,0.0058198976305085205,0.17247864220266484,Energy,Oil & Gas Equipment & Services,3.76,79.16,12.27,0.16071428571428578,-0.12729995491508744
PPG,"PPG Industries, Inc.",28.63B,2.84,0.0223,0.4048,0.0446,Quarterly,55.0,56.0,0.046799999999999994,0.057,Aristocrat+King,0.0193,0.02065551058178029,0.012981238713681576,0.030283366667623688,0.019909892632705713,0.012981238713681576,0.03149909597635261,Basic Materials,Specialty Chemicals,0.0,99.56,21.28,0.15544041450777196,0.12004622081025643
ATO,Atmos Energy Corporation,28.37B,4.00,0.0233,0.4864,0.1164,Quarterly,44.0,44.0,0.09609999999999999,0.0928,Aristocrat,0.0243,0.026591401195591592,0.019532237465948267,0.03358980799543237,0.026523477183516594,0.019532237465948267,0.03358980799543237,Utilities,Utilities - Regulated Gas,-2.83,67.44,9.24,-0.04115226337448549,-0.12153297854626205
FTS,Fortis Inc.,27.12B,1.77,0.032799999999999996,0.7354,0.0195,Quarterly,10.0,14.0,0.0197,0.0361,King,0.0383,0.04218821136992851,0.032369520743204844,0.05272996579862108,0.045275093076186046,0.032369520743204844,0.06231508225584304,Utilities,Utilities - Regulated Electric,-3.31,131.1,7.61,-0.14360313315926906,-0.2755398659301209
RF,Regions Financial Corporation,26.70B,1.06,0.0345,0.4543,0.0556,Quarterly,13.0,23.0,0.1072,0.1101,SCHD,0.0381,0.04414224437708465,0.03172148263092427,0.07588728220248953,0.0432198985158055,0.022784024175506422,0.10664729644493767,Financial Services,Banks - Regional,0.0,0.0,11.65,-0.09448818897637792,-0.20175657082157736
CINF,Cincinnati Financial Corporation,26.32B,3.76,0.0223,0.2641,0.0758,Quarterly,65.0,65.0,0.07980000000000001,0.0788,Aristocrat+King+SCHD,0.0239,0.026083390953309558,0.020156386464088155,0.03350204373747292,0.029497637725179677,0.020156386464088155,0.057365979087690824,Financial Services,Insurance - Property & Casualty,3.07,5.73,14.53,-0.06694560669456069,-0.24400725889435046
GIS,"General Mills, Inc.",25.67B,2.44,0.0507,0.5273,0.0167,Quarterly,6.0,56.0,0.0415,0.0385,SCHD,0.0347,0.03866934535028021,0.026652635966885517,0.05761038679839307,0.04283878196461205,0.026652635966885517,0.06931237980752206,Consumer Defensive,Packaged Foods,1.9,147.23,27.17,0.4610951008645533,0.18350703906291946
